Interface              IP-Address      OK? Method Status                Protocol
Vlan1                  unassigned      YES unset  administratively down down
Vlan21                 unassigned      YES unset  down                  down
Vlan30                 unassigned      YES unset  up                    up
Vlan40                 172.16.18.253   YES manual up                    up
Vlan41                 172.16.19.253   YES manual up                    up
Vlan100                172.16.20.2     YES manual down                  down
FastEthernet0/1        unassigned      YES manual up                    up
FastEthernet0/2        unassigned      YES manual up                    up
FastEthernet0/3        unassigned      YES manual up                    up
FastEthernet0/4        unassigned      YES manual up                    up
FastEthernet0/5        unassigned      YES manual up                    up
FastEthernet0/6        unassigned      YES manual up                    up
FastEthernet0/7        unassigned      YES manual up                    up
FastEthernet0/8        unassigned      YES manual up                    up
FastEthernet0/9        unassigned      YES unset  up                    up
FastEthernet0/10       unassigned      YES unset  up                    up
FastEthernet0/11       unassigned      YES unset  up                    up
FastEthernet0/12       unassigned      YES unset  up                    up
FastEthernet0/13       unassigned      YES unset  up                    up
FastEthernet0/14       unassigned      YES unset  up                    up
FastEthernet0/15       unassigned      YES unset  down                  down
FastEthernet0/16       unassigned      YES unset  down                  down
FastEthernet0/17       unassigned      YES unset  down                  down
FastEthernet0/18       unassigned      YES unset  down                  down
FastEthernet0/19       unassigned      YES unset  down                  down
FastEthernet0/20       unassigned      YES unset  down                  down
FastEthernet0/21       unassigned      YES unset  down                  down
FastEthernet0/22       unassigned      YES unset  down                  down
FastEthernet0/23       unassigned      YES unset  down                  down
FastEthernet0/24       unassigned      YES unset  down                  down
GigabitEthernet0/1     unassigned      YES unset  down                  down
GigabitEthernet0/2     unassigned      YES unset  down                  down
Port-channel1          unassigned      YES unset  down                  down
Port-channel3          172.16.254.49   YES manual up                    up
Port-channel4          172.16.254.42   YES manual up                    up
Loopback100            172.16.25.6     YES manual up                    up
